idx,symbol,avg,open,high,low,close,time,hour,ampm,gdate,idx,timestamp,btc_volume,usdt_volume
0,BTCUSDT,10066.385,10072.45,10095,10060.32,10060.32,,23,PM,08/21/2019 23:00:00,0,1566424800000,80.96,816358.56
1,BTCUSDT,10062.465,10052.48,10105.2,10040,10072.45,,22,PM,08/21/2019 22:00:00,1,1566421200000,689.33,6943602.66
2,BTCUSDT,10101.84,10151.2,10185.99,10050.1,10052.48,,21,PM,08/21/2019 21:00:00,2,1566417600000,911.77,9218114.24
3,BTCUSDT,10128.740000000002,10106.28,10198.85,10102.9,10151.2,,20,PM,08/21/2019 20:00:00,3,1566414000000,1589.77,16155587.42
4,BTCUSDT,10095.785,10085.29,10129.59,10052.42,10106.28,,19,PM,08/21/2019 19:00:00,4,1566410400000,869.49,8769715.56
5,BTCUSDT,10098.315,10111.34,10144.36,10080,10085.29,,18,PM,08/21/2019 18:00:00,5,1566406800000,677.15,6842168.36
6,BTCUSDT,10122.125,10132.91,10158,10081.75,10111.34,,17,PM,08/21/2019 17:00:00,6,1566403200000,756.98,7657422.19
7,BTCUSDT,10059.84,9986.77,10150,9858,10132.91,,16,PM,08/21/2019 16:00:00,7,1566399600000,3234.94,32438209.88
8,BTCUSDT,10000.400000000001,10014.03,10085,9958,9986.77,,15,PM,08/21/2019 15:00:00,8,1566396000000,1580.83,15848906.61
